grammar	tier	parity	fix
elm	CLEAN	8/8	Elm external lex-state table plus repeatable zero-width _virtual_end_section close clear Deps.elm without broad C recovery (verified 2026-06-11)
elsa	IV-recovery?	12/27	ext=.lc; faithful C error-cost version competition (see spec)
embedded_template	CLEAN	40/40	in ratchet
enforce	CLEAN	40/40	enforce const int formal-parameter compatibility normalization clears declMethod.txt (verified 2026-06-11)
erlang	IV-recovery	38/40	bif_SUITE ambiguity-selection + binary_SUITE blowup trunc
facility	CLEAN	6/6	locked real-corpus parity clean (verified 2026-06-11)
faust	CLEAN	40/40	in ratchet
fennel	IV-recovery?	8/30	ext=.fnl; faithful C error-cost version competition (see spec)
fidl	CLEAN	40/40	versioned layout modifiers normalized to C oracle recovery shape
firrtl	IV-recovery?	5/27	ext=.fir; faithful C error-cost version competition (see spec)
fish	CLEAN	40/40	in ratchet
foam	CLEAN	40/40	in ratchet
forth	CLEAN	40/40	in ratchet; cap=2 plus root-leading-trivia normalization and missing end_definition recovery for unterminated word_definition (verified 2026-06-11)
fortran	CLEAN	40/40	in ratchet
fsharp	IV-perf	0/8	timeout-or-fail at 1200s canonical budget
gdscript	CLEAN	40/40	repeatable zero-width _dedent in DFA external loop guard; scanner token order aligned with upstream C (verified 2026-06-11)
git_config	CLEAN	7/7	in ratchet
git_rebase	CLEAN	40/40	in ratchet
gitattributes	CLEAN	40/40	in ratchet
gitcommit	CLEAN	13/13	in ratchet
gitignore	CLEAN	40/40	in ratchet
gleam	CLEAN	40/40	in ratchet
glsl	IV-recovery	11/40	faithful C error-cost version competition (see spec)
gn	CLEAN	40/40	in ratchet; scanner aligned with upstream C (maple)
go	CLEAN	40/40	Go top-level recovery now replaces signature-only function fragments and recursively recovers for-loop bodies (verified 2026-06-11)
godot_resource	CLEAN	40/40	in ratchet; scanner aligned with upstream C (maple)
gomod	CLEAN	40/40	in ratchet
graphql	CLEAN	1/1	GraphQL C-recovery triple-quote/block-string handling verified 2026-06-11
groovy	IV-recovery	4/40	faithful C error-cost version competition (see spec)
hack	CLEAN	40/40	in ratchet; C-recovery gate (stage-2 redwood)
hare	IV-recovery	20/40	faithful C error-cost version competition (see spec)
haskell	IV-scanner	11/40	layout scanner, deep port needed (maple)
haxe	IV-recovery	7/40	pins at upstream HEAD; C at same pin parses corpus clean — runtime fidelity, not version (oak 2026-06-10)
hcl	CLEAN	40/40	in ratchet
heex	CLEAN	40/40	in ratchet
hlsl	CLEAN	40/40	C recovery election plus HLSL result-shape compatibility normalization clears default cgo oracle gate (verified 2026-06-12)
html	IV-recovery	0/40	faithful C error-cost version competition (see spec)
http	CLEAN	11/11	full available HTTP corpus parity in Docker after section-fold compatibility fix (2026-06-11)
hurl	IV-recovery	13/40	faithful C error-cost version competition (see spec)
hyprlang	CLEAN	2/2	in ratchet; C-recovery gate keeps hyprland.conf under configuration root and hyprlang boolean assignment value normalization matches C boolean literal shape (verified 2026-06-12)
ini	CLEAN	11/11	mypy-style continuation recovery normalized for both residual witnesses; bounded cgo oracle parity medianRatio=3.98x, verified 2026-06-12
janet	CLEAN	40/40	in ratchet
java	CLEAN	40/40	in ratchet; java full-parse stack cap 14
javascript	CLEAN	40/40	in ratchet
jinja2	IV-recovery	3/40	faithful C error-cost version competition (see spec)
jq	CLEAN	40/40	in ratchet
jsdoc	CLEAN	40/40	in ratchet; C-recovery gate (stage-2 redwood)
json	CLEAN	40/40	in ratchet
json5	CLEAN	40/40	in ratchet
jsonnet	IV-recovery?	39/40	canonical-frame demotion (one-time reset)
julia	IV-recovery	28/40	faithful C error-cost version competition (see spec)
just	CLEAN	8/8	in ratchet; C-recovery gate plus just top-level line-break span normalization
kconfig	IV-recovery?	13/30	ext=Kconfig; faithful C error-cost version competition (see spec)
kdl	IV-recovery	12/40	pins at upstream HEAD; C at same pin parses corpus clean — runtime fidelity, not version (oak 2026-06-10)
kotlin	IV-recovery	29/40	Kotlin collapsed import identifier, callable_reference, receiver-swallowed function name, and leading-trivia root normalizers lifted current real-corpus parity from 17/40 to 29/40; Docker real-corpus max-cases=40 verified 2026-06-12. Remaining 11 current failures are generated ERROR trees on clean C refs (Logger.kt, typeParams.txt, SimpleClassMembers.txt, namedCompanionObject.txt, topLevelMembers.txt, DocCommentsBinding.txt, DynamicReceiver.txt, EnumShortWithOverload.txt, topJvmPackageNameMultifile.txt, topJvmPackageName.txt, enum.txt).
ledger	CLEAN	4/4	in ratchet; ledger date-suffix and year-directive recovery normalization
less	IV-recovery?	10/40	faithful C error-cost version competition (see spec)
linkerscript	IV-recovery	1/40	faithful C error-cost version competition (see spec)
liquid	IV-recovery?	11/36	faithful C error-cost version competition (see spec)
llvm	CLEAN	40/40	in ratchet
lua	CLEAN	40/40	in ratchet; scanner.c port + DFA routing (maple 2026-06-10)
luau	CLEAN	40/40	C-recovery gate localizes unsupported class syntax; recovered `end` identifier shape and Luau table-constructor iteration budget match C oracle (verified 2026-06-12)
make	IV-recovery?	19/20	ext=Makefile,.mk; C-recovery gate tried and REVERTED (parity-neutral 19/20, runs 20260610T090208Z/091230Z redwood-wave1/1b): witness Makefile (129KB, git's) root ERROR cc go=5029 vs makefile c=2114 — signature identical with gate on/off, so the divergence is decided before/outside the gated recover path (retry full-parse or pre-error fragmentation); needs witness-level diagnosis, not more gate work
markdown	CLEAN	40/40	in ratchet; verified after willow shape fixes
markdown_inline	IV-scanner	38/40	ext=.md; scanner/truncation residual verified after willow shape fixes
matlab	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
mermaid	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
meson	IV-recovery?	1/30	ext=meson.build; faithful C error-cost version competition (see spec)
mojo	IV-recovery?	30/40	post-repin residual
move	IV-recovery?	14/40	post-repo-switch residual
nginx	CLEAN	40/40	in ratchet
nickel	CLEAN	40/40	in ratchet
nim	IV-recovery?	3/40	faithful C error-cost version competition (see spec)
nix	CLEAN	40/40	in ratchet
norg	IV-scanner	0/2	mixed scanner/version, 2-file corpus (maple)
nushell	IV-recovery?	5/40	faithful C error-cost version competition (see spec)
objc	IV-recovery?	1/40	faithful C error-cost version competition (see spec)
ocaml	CLEAN	40/40	in ratchet
odin	IV-recovery?	13/40	faithful C error-cost version competition (see spec)
org	IV-recovery?	5/39	faithful C error-cost version competition (see spec)
pascal	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
pem	CLEAN	40/40	in ratchet
perl	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
php	CLEAN	40/40	in ratchet
pkl	CLEAN	40/40	in ratchet; verified after willow shape fixes
powershell	IV-recovery?	22/40	faithful C error-cost version competition (see spec)
prisma	CLEAN	40/40	in ratchet
prolog	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
promql	CLEAN	25/25	in ratchet; verified strict real-corpus 25/25 and direct C 20/20 after preserving PromQL query pass-through reductions
properties	CLEAN	40/40	in ratchet
proto	IV-recovery?	25/40	faithful C error-cost version competition (see spec)
pug	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
puppet	CLEAN	40/40	in ratchet
purescript	IV-recovery?	1/40	faithful C error-cost version competition (see spec)
python	CLEAN	40/40	in ratchet
ql	CLEAN	40/40	in ratchet; verified after willow shape fixes
r	CLEAN	40/40	in ratchet; verified after willow shape fixes
racket	CLEAN	40/40	in ratchet
regex	IV-unknown?	0/1	ext=.regex; stackcap disproven (default iteration_limit, cap 2 no_stacks_alive); single-file corpus with UTF-8 BOM: C roots after the BOM (StartByte 3) and parses all 2255 bytes, go roots at 0 and truncates at 390
rego	IV-recovery?	7/40	faithful C error-cost version competition (see spec)
requirements	CLEAN	9/9	in ratchet; first IV-recovery clear via faithful C-recovery port (errorCostCompetitionLanguage gate)
rescript	IV-recovery?	23/40	faithful C error-cost version competition (see spec)
robot	IV-recovery?	28/40	faithful C error-cost version competition (see spec)
ron	CLEAN	40/40	in ratchet
rst	IV-perf	1/8	timeout-or-fail at 1200s canonical budget
ruby	CLEAN	40/40	in ratchet; inline Ruby when-then body StartByte normalized to C oracle
rust	IV-recovery?	21/40	faithful C error-cost version competition (see spec)
scala	IV-recovery?	25/40	faithful C error-cost version competition (see spec)
scheme	CLEAN	28/28	Scheme merge-per-key cap plus C recovery cost competition; Docker real-corpus and direct C parity verified 2026-06-12
scss	IV-recovery?	6/40	faithful C error-cost version competition (see spec)
smithy	CLEAN	40/40	in ratchet
solidity	CLEAN	40/40	Solidity-only call/type-cast/new-expression compatibility pass promoted; Docker real-corpus strict parity verified 2026-06-11
sparql	CLEAN	40/40	in ratchet
sql	IV-recovery?	8/40	faithful C error-cost version competition (see spec)
squirrel	CLEAN	40/40	in ratchet
ssh_config	CLEAN	2/2	C-recovery gate promoted; tiny lock-filtered corpus clean (verified 2026-06-11)
starlark	CLEAN	40/40	in ratchet
svelte	CLEAN	40/40	in ratchet; recovered raw-text ERROR compatibility normalized to C oracle (verified 2026-06-11)
swift	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
tablegen	CLEAN	40/40	in ratchet
tcl	IV-recovery?	10/40	faithful C error-cost version competition (see spec)
teal	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
templ	IV-recovery?	24/40	faithful C error-cost version competition (see spec)
textproto	CLEAN	40/40	in ratchet
thrift	CLEAN	40/40	in ratchet
tlaplus	IV-unknown?	14/40	ext=.tla; stackcap disproven (cap 2: 21→20 iteration_limit truncations, parity unchanged); 197x median ratio with deep truncations (go stops at 1-2KB where C parses 11-31KB) — likely jlist external-scanner-driven GLR churn
tmux	IV-recovery?	0/1	ext=.tmux.conf,tmux.conf; faithful C error-cost version competition (see spec)
todotxt	CLEAN	40/40	in ratchet
toml	CLEAN	11/11	in ratchet
tsx	CLEAN	40/40	in ratchet
turtle	CLEAN	40/40	in ratchet
twig	CLEAN	40/40	in ratchet
typescript	CLEAN	40/40	typed-arrow merge cap selection and destructuring-pattern normalization; verified 2026-06-12
typst	IV-recovery?	28/40	faithful C error-cost version competition (see spec)
uxntal	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
v	IV-recovery?	25/40	faithful C error-cost version competition (see spec)
verilog	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
vhdl	IV-recovery?	14/40	faithful C error-cost version competition (see spec)
vimdoc	IV-recovery?	0/30	ext=.txt; faithful C error-cost version competition (see spec)
vue	CLEAN	40/40	in ratchet
wat	IV-recovery?	4/34	faithful C error-cost version competition (see spec)
wgsl	IV-recovery?	20/40	faithful C error-cost version competition (see spec)
wolfram	CLEAN	4/4	Wolfram split infix compatibility pass promoted; Docker real-corpus strict parity verified 2026-06-11
xml	CLEAN	40/40	in ratchet
yaml	CLEAN	40/40	in ratchet
yuck	CLEAN	40/40	in ratchet
zig	CLEAN	40/40	in ratchet; C-recovery gate (stage-2 redwood)
